"Course Number"	"Course Name"	"Department"	"Instructor"	"Grades"	"Units"	"Section Number"	"Times"	"Locations"
"Ae 235"	"Rarefied Gasdynamics"	"Ae"	"Pullin, D"	"PASS-FAIL"	"3-0-6"	"01"	"MWF 08:00 - 08:55"	"133 GUG"
"Ae 240"	"Special Topics in Fluid Mechanics"	"Ae"	"Meiron, D"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Ae/AM/CE/ME 102A"	"Mechanics of Structures and Solids"	"Ae"	"Lapusta, N"	"LETTER"	"3-0-6"	"01"	"TR 09:00 - 10:25"	"135 GTL"
"Ae/AM/ME/Ge 225"	"Special Topics in Solid Mechanics: Static and Dynamic Failure of Brittle Solids and Interfaces, from the Micro to the Mega"	"Ae"	"Rosakis, A"	""	"3-0-6"	"01"	"TR 16:00 - 17:25"	"115 GTL"
"Ae/APh 104A"	"Experimental Methods"	"Ae"	"Gharib, M"	"LETTER"	"3-0-6"	"01"	"MWF 11:00 - 11:55"	"232 GUG"
"Ae/APh/CE/ME 101A"	"Fluid Mechanics"	"Ae"	"Pullin, D"	"LETTER"	"3-0-6"	"01"	"MWF 10:00 - 10:55"	"133 GUG"
"Ae/CE 165A"	"Mechanics of Composite Materials and Structures"	"Ae"	"Pellegrino, S"	""	"2-2-5"	"01"	"OM,M 14:00 - 14:55"	"232 GUG"
"Ae/Ge/ME 160A"	"Continuum Mechanics of Fluids and Solids"	"Ae"	"Lapusta, N"	""	"3-0-6"	"01"	"TR 09:00 - 10:25"	"135 GTL"
"Ae/ME 118"	"Classical Thermodynamics"	"Ae"	"Minnich, A"	""	"3-0-6"	"01"	"MWF 11:00 - 11:55"	"135 GTL"
"An 097"	"Undergraduate Research"	"An"	"Staff"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"ACM/EE 106A"	"Introductory Methods of Computational Mathematics"	"ACM"	"Lam, K"	""	"3-0-9"	"01"	"TR 13:00 - 14:25"	"105 ANB"
"ACM/EE 116"	"Introduction to Probability Models"	"ACM"	"Zuev, K"	""	"3-1-5"	"01"	"TR 09:00 - 10:25"	"105 ANB"
"ACM101A"	"Methods of Applied Mathematics I"	"ACM"	"Bruno, O"	""	"4-0-8"	"01"	"TR 14:30 - 16:25"	"213 ANB"
"ACM104"	"Applied Linear Algebra"	"ACM"	"Zuev, K"	""	"3-1-5"	"01"	"TR 10:30 - 11:55"	"105 ANB"
"ACM159"	"Inverse Problems and Data Assimilation"	"ACM"	"Stuart, A"	""	"3-0-6"	"01"	"TR 14:30 - 15:55"	"102 SPL"
"ACM190"	"Reading and Independent Study"	"ACM"	"Hou, Y"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"ACM190"	"Reading and Independent Study"	"ACM"	"Hassibi, B"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"ACM190"	"Reading and Independent Study"	"ACM"	"Espanol, M"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"ACM190"	"Reading and Independent Study"	"ACM"	"Heaton, T"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"ACM190"	"Reading and Independent Study"	"ACM"	"Owhadi, H"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"ACM190"	"Reading and Independent Study"	"ACM"	"Desbrun, M"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"ACM204"	"Topics in Convexity"	"ACM"	"Tropp, J"	""	"3-0-6"	"01"	"TR 10:30 - 11:55"	"213 ANB"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Bruno, O"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Chandrasekaran, V"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Desbrun, M"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Hou, Y"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Beck, J"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Meiron, D"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Pierce, N"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Schroeder, P"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Owhadi, H"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Tropp, J"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Hassibi, B"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Stuart, A"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"ACM300"	"Research in Applied and Computational Mathematics"	"ACM"	"Graber, T"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"AM 200"	"Advanced Work in Applied Mechanics"	"AM"	"Staff"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Beck, J"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Bhattacharya, K"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Andrade, J"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Avouac, J"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Murray, R"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Ortiz, M"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Phillips, R"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"AM 300"	"Research in Applied Mechanics"	"AM"	"Ravichandran, G"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"AM/CE 151A"	"Dynamics and Vibration"	"AM"	"Asimaki, D"	"LETTER"	"3-0-6"	"01"	"TR 13:00 - 14:25"	"115 GTL"
"AM/CE/ME 150A"	"Graduate Engineering Seminar"	"AM"	"Lapusta, N"	"PASS-FAIL"	"1-0-0"	"01"	"R 11:00 - 11:55"	"135 GTL"
"APh/EE 009A"	"Solid-State Electronics for Integrated Circuits"	"APh"	"Scherer, A"	""	"2-2-2"	"01"	"TR 13:00 - 13:55"	"B280 MRE"
"APh/MS 105A"	"States of Matter"	"APh"	"Staff"	"LETTER"	"3-0-6"	"01"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Painter, O"	"LETTER"	"0-9-0"	"01"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Vahala, K"	"LETTER"	"0-9-0"	"02"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Atwater, H"	"LETTER"	"0-9-0"	"03"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Scherer, A"	"LETTER"	"0-9-0"	"04"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Bellan, P"	"LETTER"	"0-9-0"	"05"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Phillips, R"	"LETTER"	"0-9-0"	"06"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Troian, S"	"LETTER"	"0-9-0"	"07"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Faraon, A"	"LETTER"	"0-9-0"	"08"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Lewis, N"	"LETTER"	"0-9-0"	"09"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Yung, Y"	"LETTER"	"0-9-0"	"10"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Schwab, K"	"LETTER"	"0-9-0"	"11"	"A"	"A"
"APh078A"	"Senior Thesis, Experimental"	"APh"	"Endres, M"	"LETTER"	"0-9-0"	"12"	"A"	"A"
"APh079A"	"Senior Thesis, Theoretical"	"APh"	"Troian, S"	"LETTER"	"0-9-0"	"01"	"A"	"A"
"APh079A"	"Senior Thesis, Theoretical"	"APh"	"Kimble, H"	"LETTER"	"0-9-0"	"02"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Phillips, R"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Vahala, K"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Scherer, A"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Troian, S"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Faraon, A"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Atwater, H"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Roukes, M"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Choo, H"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Minnich, A"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"APh100"	"Advanced Work in Applied Physics"	"APh"	"Painter, O"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"APh109"	"Introduction to the Micro/Nanofabrication Lab"	"APh"	"Troian, S / Ghaffari, A"	""	"0-6-3"	"01"	"R 19:00 - 19:55"	"104 WAT"
"APh110"	"Topics in Applied Physics"	"APh"	"Bellan, P"	"PASS-FAIL"	"2-0-0"	"01"	"M 12:00 - 12:55"	"104 WAT"
"APh114A"	"Solid-State Physics"	"APh"	"Schwab, K"	""	"3-0-6"	"01"	"MWF 09:00 - 09:55"	"104 WAT"
"APh156A"	"Plasma Physics"	"APh"	"Bellan, P"	"LETTER"	"3-0-6"	"01"	"MW 14:30 - 15:55"	"104 WAT"
"APh190A"	"Quantum Electronics"	"APh"	"Staff"	""	"3-0-6"	"01"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Atwater, H"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Desbrun, M"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Bellan, P"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Snyder, G"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Troian, S"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Fultz, B"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Johnson, W"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Chen, Y"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Minnich, A"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Refael, G"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Goddard, W"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Faraon, A"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Hsieh, D"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Preskill, J"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Faraon, A"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Yang, C"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Alicea, J"	"PASS-FAIL"	"+"	"17"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Gharib, M"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Bernardi, M"	"PASS-FAIL"	"+"	"19"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Painter, O"	"PASS-FAIL"	"+"	"20"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Phillips, R"	"PASS-FAIL"	"+"	"21"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Nad Perge, S"	"PASS-FAIL"	"+"	"22"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Kimble, H"	"PASS-FAIL"	"+"	"23"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Roukes, M"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Hutzler, N"	"PASS-FAIL"	"+"	"25"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Scherer, A"	"PASS-FAIL"	"+"	"26"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Van Zyl, J"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Rosenbaum, T"	"PASS-FAIL"	"+"	"28"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Yeh, N"	"PASS-FAIL"	"+"	"29"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Heath, J"	"PASS-FAIL"	"+"	"30"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Vahala, K"	"PASS-FAIL"	"+"	"31"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Yariv, A"	"PASS-FAIL"	"+"	"32"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Motrunich, O"	"PASS-FAIL"	"+"	"33"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Schwab, K"	"PASS-FAIL"	"+"	"41"	"A"	"A"
"APh200"	"Applied Physics Research"	"APh"	"Lewis, N"	"PASS-FAIL"	"+"	"42"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Atwater, H"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Fultz, B"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Bellan, P"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Snyder, G"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Yariv, A"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Johnson, W"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Flagan, R"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Troian, S"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Painter, O"	"PASS-FAIL"	"+"	"09"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Desbrun, M"	"PASS-FAIL"	"+"	"10"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Hsieh, D"	"PASS-FAIL"	"+"	"11"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Faraon, A"	"PASS-FAIL"	"+"	"12"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Bhattacharya, K"	"PASS-FAIL"	"+"	"13"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Faber, K"	"PASS-FAIL"	"+"	"14"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Phillips, R"	"PASS-FAIL"	"+"	"15"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Daraio, C"	"PASS-FAIL"	"+"	"16"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Roukes, M"	"PASS-FAIL"	"+"	"18"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Scherer, A"	"PASS-FAIL"	"+"	"20"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Vahala, K"	"PASS-FAIL"	"+"	"24"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Painter, O"	"PASS-FAIL"	"+"	"27"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Schwab, K"	"PASS-FAIL"	"+"	"28"	"A"	"A"
"APh300"	"Thesis Research in Applied Physics"	"APh"	"Chen, Y"	"PASS-FAIL"	"+"	"29"	"A"	"A"
"Ay 020"	"Basic Astronomy and the Galaxy"	"Ay"	"Hillenbrand, L / Kirby, E"	""	"3-1-6"	"01"	"OM,M 09:00 - 09:55"	"219 CHL"
"Ay 043"	"Reading in Astronomy and Astrophysics"	"Ay"	"Scoville, N"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Steidel, C"	""	"9-0-0"	"01"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Hillenbrand, L"	""	"9-0-0"	"02"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Prince, T"	""	"9-0-0"	"03"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Cohen, J"	""	"9-0-0"	"05"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Hopkins, P"	""	"9-0-0"	"06"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Ott, C"	""	"9-0-0"	"09"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Martin, C"	""	"9-0-0"	"10"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Harrison, F"	""	"9-0-0"	"11"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Hallinan, G"	""	"9-0-0"	"12"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Phinney, E"	""	"9-0-0"	"13"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Knutson, H"	""	"9-0-0"	"14"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Mawet, D"	""	"9-0-0"	"15"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Kirby, E"	""	"9-0-0"	"16"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Kasliwal, M"	""	"9-0-0"	"17"	"A"	"A"
"Ay 078A"	"Senior Thesis"	"Ay"	"Djorgovski, S"	""	"9-0-0"	"18"	"A"	"A"
"Ay 111A"	"Introduction to Current Astrophysics Research"	"Ay"	"Hallinan, G"	"PASS-FAIL"	"3-0-0"	"01"	"OM,M 09:00 - 09:55"	"219 CHL"
"Ay 121"	"Radiative Processes"	"Ay"	"Phinney, E"	""	"3-0-6"	"01"	"OM,M 09:00 - 09:55"	"219 CHL"
"Ay 122A"	"Astronomical Measurements and Instrumentation"	"Ay"	"Mawet, D / Howard, A"	""	"3-0-6"	"01"	"OM,M 09:00 - 09:55"	"219 CHL"
"Ay 123"	"Structure and Evolution of Stars"	"Ay"	"Fuller, J"	""	"3-0-6"	"01"	"OM,M 09:00 - 09:55"	"219 CHL"
"Ay 141A"	"Research Conference in Astronomy"	"Ay"	"Sargent, A"	"PASS-FAIL"	"1-0-2"	"01"	"F 16:00 - 16:55"	"370 CHL"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Batygin, K"	"PASS-FAIL"	"+"	"01"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Martin, C"	"PASS-FAIL"	"+"	"02"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Brown, M"	"PASS-FAIL"	"+"	"03"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Hirata, C"	"PASS-FAIL"	"+"	"04"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Hopkins, P"	"PASS-FAIL"	"+"	"05"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Djorgovski, S"	"PASS-FAIL"	"+"	"06"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Scoville, N"	"PASS-FAIL"	"+"	"07"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Hillenbrand, L"	"PASS-FAIL"	"+"	"08"	"A"	"A"
"Ay 142"	"Research in Astronomy and Astrophysics"	"Ay"	"Kirby, E"	"PASS-FAIL"	"+"	"09"	"A"	"A"
